0,https://www.zhipin.com/job_detail/397035f6203fa4751XR43tu5EFdQ.html,BIM板块技术质量管理,上海·静安区·火车站,  华建数创 移动互联网不需要融资100-499人   , 15-20K 10年以上本科  方女士HR    立即沟通  ,  质量管理  补充公积金，带薪年假，五险一金，定期体检，餐补 
0,https://www.zhipin.com/job_detail/af76024fb84e3ebf1nJ-3ty9E1RY.html,【上海】诚聘高级质量管理体系专员,上海·杨浦区·中原,  微谱 企业服务未融资1000-9999人   , 12-18K 5-10年本科  袁女士招聘经理    立即沟通  ,  GMP GMP认证 CNAS CMA 第三方检测 EHS QEHS体系管理 检测机构  免费班车，带薪年假，交通补助，节日福利，年终奖，五险一金，员工旅游，通讯补贴，定期体检 
0,https://www.zhipin.com/job_detail/95900224e81af4a30XV_09m0E1I~.html,云质QMS质量管理软件实施顾问,上海·浦东新区·金桥,  上海云质信息 计算机软件未融资20-99人   , 15-30K·14薪 3-5年本科  徐先生项目总监    立即沟通  ,  实施顾问 QMS 质量管理 质量软件 质量系统 质量平台 质量数据分析 质量检测  补充医疗保险，年终奖，员工旅游，五险一金，零食下午茶，股票期权，定期体检，带薪年假 
0,https://www.zhipin.com/job_detail/cd3f476b96765f1d1nx_29S4GFZZ.html,质量管理,上海·金山区·山阳,  泰铂 汽车生产B轮100-499人   , 15-23K 5-10年本科  陶先生招聘者    立即沟通  ,  内审员证 QC七大手法 PPAP FMEA APQP  年终奖，福利年假，通讯补贴，包吃，交通补助，节日福利，调休，加班补助，住房，五险一金，免费班车，带薪年假 
0,https://www.zhipin.com/job_detail/ba3eac029616860d1XR-2ti5ElpQ.html,质量管理经理,上海·浦东新区·陆家嘴,  盘古餐饮 餐饮未融资20-99人   , 16-30K·14薪 5-10年本科  张女士组织发展经理    立即沟通  ,  食品/饮料/烟酒 食品质量 熟悉ISO9000/9001 熟悉ISO22000  带薪年假，餐补 
0,https://www.zhipin.com/job_detail/ea3dd593a21b3a471nx909-5FlBZ.html,质量管理工程师,上海·松江区·泗泾,  赛目科技 计算机软件未融资100-499人   , 15-30K·14薪 3-5年本科  刘女士HR    立即沟通  ,  质量管理体系标准  五险一金，员工旅游，零食下午茶，年终奖，补充医疗保险，股票期权，带薪年假，节日福利 
0,https://www.zhipin.com/job_detail/9d5e76f1cb9bccc11nN52t-5E1dR.html,医疗器械生产/质量管理,上海,  万奇光电技术 医疗健康未融资20-99人   , 11-22K 1-3年本科  徐女士人事    立即沟通  ,  QC   
0,https://www.zhipin.com/job_detail/8c227b81e7ff7be81n163d-6ElVZ.html,质量管理,上海,  云鹊医疗 移动互联网B轮100-499人   , 12-20K·15薪 3-5年本科  沈先生招聘经理    立即沟通  ,  医疗器械生产质量管理规范 QC QA  零食下午茶，五险一金，年终奖，定期体检，带薪年假，年底双薪，补充医疗保险，股票期权，加班补助，节日福利 
0,https://www.zhipin.com/job_detail/e769044d44b90faa1n162N20GFFV.html,医疗器械质量管理负责人,上海·奉贤区·西渡,  大格生物 医疗设备/器械20-99人   , 15-25K 5-10年本科  章女士人事    立即沟通  ,  生物工程 体外诊断试剂 二类医疗器械 ISO认证 医疗器械生产质量管理规范  年终奖，加班补助，五险一金，带薪年假，股票期权，员工旅游，零食下午茶 
0,https://www.zhipin.com/job_detail/ab5947d5c4aabd981nN-0tW7GVFR.html,医疗器械生产/质量管理,上海·浦东新区·惠南,  原能 机械设备/机电/重工100-499人   , 15-25K·13薪 3-5年本科  廖女士招聘者    立即沟通  ,  二类医疗器械   
0,https://www.zhipin.com/job_detail/ea15995de32521aa1XBy0tq5EFc~.html,医疗器械生产/质量管理,上海·闵行区·浦江,  安甲生物 医疗健康天使轮20-99人   , 8-16K 1-3年本科  刘先生经理    立即沟通  ,  生物技术研究 管理体系认证 实验室认证  餐补，五险一金，进修深造，股票期权，年终奖，加班补助，员工旅游，全勤奖，交通补助，带薪年假，住房补贴，通讯补贴，定期体检，节日福利 
0,https://www.zhipin.com/job_detail/0e4893dc1e167b5d1nJy2dW4EFBS.html,病毒生产质量管理工程师,上海·浦东新区·外高桥,  凌意生物 医疗健康A轮20-99人   , 12-24K 1-3年本科  顾女士人事    立即沟通  ,  生物工程 医药科研 GMP GLP 医药研发 化学检验 QC 病毒质量管理  定期体检，员工旅游，节日福利，交通补助，年终奖，餐补，带薪年假，加班补助，五险一金 
0,https://www.zhipin.com/job_detail/6db48c31946d35431nR729u5FVBT.html,医疗器械生产/质量管理,上海·奉贤区·奉浦,  牙太太 医疗健康未融资0-20人   , 15-20K 3-5年大专  王先生总经理    立即沟通  ,  医疗器械 医疗器械生产质量管理规范 医疗器械注册 医疗器械生产   
0,https://www.zhipin.com/job_detail/daae39976f0889c01nx-3tu1EVFZ.html,医疗器械质量管理高级咨询顾问,上海·浦东新区·张江,  辛格迪健康科技 计算机软件天使轮20-99人   , 15-18K·14薪 3-5年本科  谭先生人事经理    立即沟通  ,  医疗器械生产质量管理规范  五险一金 
0,https://www.zhipin.com/job_detail/f5e1370c61496c690XV_096_FVY~.html,云质QMS质量管理软件Reactjs前端工程师,上海·浦东新区·金桥,  上海云质信息 计算机软件未融资20-99人   , 15-30K 3-5年本科  徐先生项目总监    立即沟通  ,  前端开发 质量管理 QMS 质量软件 质量检测 品质管理 质量系统 质量数据分析  定期体检，年终奖，带薪年假，员工旅游，零食下午茶，补充医疗保险，五险一金，股票期权 
